__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,mc,,,,,sc,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ff,cb,gm,rm,st,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,go,,ko,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ca,,,,,,,,,,,,,
,,eb,,qb,,rb,,fb,,hb,,,,,,,,,,,,,,,,,,,bp,
bh,,,,,,,,,,,,,,,,,,,,,,,,,mp,,,,,,,
,,,,,,,,,,,,,fb,,sh,,,,,,,,,,,,,,,,
,,,,bb,ma,,,,,,,,fb,,,,,sb,,,,,mb,,,,,,,,
fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb
fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb,fb
